TRIFID,PRIMARY NAICS CODE,TRI_CHEM_ID,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
0377WWHTMN35BUS,325199,000067561,4940.0,Pounds,95.9223,NO,95.9223,95.9223,95.9223,95.9223,95.9223,95.9223,NO,0.0,95.9223,0.0,NO,H20
89821CRTZGSTARA,212221,N020,400.0,Pounds,0.0022,NO,0.0,0.0022,0.0022,74.1527,100.0,85.6531,NO,74.1505,33.4239,1.1618,YES,H39
89821CRTZGSTARA,212221,N090,0.5,Pounds,0.0001,NO,0.0,0.0001,0.0001,0.4546,1.1362,33.3333,YES,0.4544,4.8919,2.3739,YES,H39
89821CRTZGSTARA,212221,N106,9587.0,Pounds,2.8459,NO,1.3643,4.114,5.2088,5.9472,8.6969,99.7399,YES,1.8332,14.3381,1.6981,YES,H39
89821CRTZGSTARA,212221,N982,162.0,Pounds,0.0341,NO,0.0,0.0341,0.0341,15.0488,37.5708,98.1818,YES,15.0147,22.9355,1.5876,YES,H39
26155PPGNDSTATE,325181,N458,97430.0,Pounds,98.3722,NO,96.3607,98.4683,98.5645,99.8733,100.0,99.9947,NO,1.405,99.1717,0.0072,NO,H10
18252RPRDCPOBOX,325120,007664393,150920.0,Pounds,3.9525,NO,0.0,4.1869,4.446,33.898,78.4645,99.9874,YES,29.711,28.4724,1.0949,YES,H39
44102SHLND2191W,325211,000067561,406260.0,Pounds,62.6512,NO,7.3665,62.7552,62.8595,99.681,100.0,99.9931,NO,36.9258,81.0982,0.228,NO,H20
28127FBRCM181RA,326121,N982,52622.0,Pounds,91.1793,NO,78.1221,91.2099,91.2404,99.935,100.0,99.9832,NO,8.7251,94.9561,0.0456,NO,H39
28127FBRCM181RA,326121,007439921,141.0,Pounds,86.6679,NO,76.7805,86.7052,86.7425,93.3217,100.0,99.9008,NO,6.6165,91.1037,0.0683,NO,H39
4096WDTCHN84S23,326122,N420,13.0,Pounds,11.7012,NO,0.0,11.7064,11.7117,55.4742,100.0,99.2366,NO,43.7677,40.8832,1.0093,YES,H39
6571WBRFLX1299I,326122,N420,646.0,Pounds,99.0038,NO,99.0038,99.0038,99.0038,99.0038,99.0038,99.0038,NO,0.0,99.0038,0.0,NO,H39
55164KCHRFPOBOX,324110,000071432,290.0,Pounds,0.5822,NO,0.0,0.6512,0.7381,4.4681,10.1934,99.6564,YES,3.8169,6.1402,2.1776,YES,H20
70765THDWCHIGHW,325199,007647010,2255.0,Pounds,0.0106,NO,0.0,0.0106,0.0106,4.6298,11.5587,99.6465,YES,4.6192,7.1419,2.8467,YES,H39
7651WBLTNR19TAY,327320,N420,7.691,Pounds,98.1746,NO,97.4615,98.4329,98.6911,99.0804,100.0,99.4697,NO,0.6476,98.7785,0.0054,NO,H39
7603WCLBRN2725P,327320,N420,1.61,Pounds,94.6502,NO,92.1212,95.2133,95.7763,97.2747,100.0,98.773,NO,2.0614,96.3998,0.018,NO,H39
54701MRCNP800WI,326299,N420,4.25,Pounds,73.7572,NO,38.0046,74.2245,74.6924,98.3711,100.0,99.9824,NO,24.1466,85.8078,0.1445,NO,H39
54701MRCNP800WI,326299,N010,6000.0,Pounds,59.2522,NO,0.0,59.388,59.5238,99.2506,100.0,99.9998,NO,39.8626,78.1364,0.2565,NO,H39
89801JRRTT50MIL,212221,N010,0.5,Pounds,0.0014,NO,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,NO,0.0,0.0014,0.0,NO,H10
55164KCHRFPOBOX,324110,000092524,12.0,Pounds,2.8436,NO,0.0,3.0429,3.2698,21.7212,49.7386,37.5,NO,18.6783,13.3059,0.9745,NO,H20
55164KCHRFPOBOX,324110,000100414,220.0,Pounds,0.5958,NO,0.0,0.721,0.9083,2.7776,5.8624,99.4575,YES,2.0566,6.3034,2.5222,YES,H20
15061BVRVL1899B,331513,007440473,48633.0,Pounds,98.3617,NO,98.0127,98.8616,98.9824,99.4276,100.0,99.4886,NO,0.566,99.0587,0.0039,NO,H10
98221SHLLLWESTM,324110,000100414,155767.0,Pounds,96.6229,NO,93.9299,97.1951,97.7742,99.3719,100.0,99.9994,NO,2.1768,98.2694,0.0118,NO,H20
89821CRTZGSTARA,212221,N458,212.1,Pounds,0.0402,NO,0.0,0.0538,0.0674,0.0996,0.1683,97.7419,YES,0.0458,18.2937,1.8613,YES,H39
89821CRTZGSTARA,212221,N511,991318.0,Pounds,32.2975,NO,0.0,33.9357,35.5742,77.8188,100.0,99.9993,NO,43.8832,58.8475,0.4706,NO,H39
