TRIFID,PRIMARY NAICS CODE,CAS NUMBER,ON-SITE - RECYCLED,UNIT OF MEASURE,LOWER EFFICIENCY,LOWER EFFICIENCY OUTLIER?,Q1 - 1.5xIQR,Q1,Q2,Q3,Q3 + 1.5xIQR,UPPER EFFICIENCY,UPPER EFFICIENCY OUTLIER?,IQR,MEAN OF EFFICIENCY,CV,HIGH VARIANCE?,METHOD
06904MRCNC1937W,541710,75058,7700.0,Pounds,2.6922,NO,0.0,2.7541,2.818,43.9088,100.0,98.6547,NO,41.1548,31.7193,1.0539,YES,R11
21601BLCKD515GL,333991,71556,6226.0,Pounds,11.5843,NO,2.4317,15.5827,19.0089,24.35,37.501,41.8667,YES,8.7673,21.7608,0.431,NO,R11
19709JHNSNRD170,335911,7664939,408873.0,Pounds,85.4378,NO,74.5844,85.4602,85.4825,92.7107,100.0,99.9389,NO,7.2505,90.2864,0.0756,NO,R99
19464LHNDL244SH,326199,67641,1440.0,Pounds,65.7534,NO,65.7534,65.7534,65.7534,65.7534,65.7534,65.7534,NO,0.0,65.7534,0.0,NO,R11
03301PGBLT26COM,314999,78933,4200.0,Pounds,22.7642,NO,0.0,22.9206,23.0769,58.7295,100.0,94.382,NO,35.8089,46.7411,0.7207,NO,R11
19301DLXCH4INDU,323110,71556,18785.0,Pounds,35.5662,NO,0.0,37.9546,40.5776,77.9991,100.0,97.045,NO,40.0446,59.6743,0.4031,NO,R19
28357CRFTMHIGHW,332321,1330207,14365.0,Pounds,90.2608,NO,83.0587,91.7012,93.1885,97.4629,100.0,98.2894,NO,5.7617,94.2953,0.0331,NO,R11
77480PHLLPSH35A,324110,100414,1900000.0,Pounds,98.735,NO,98.5375,99.1215,99.2693,99.5108,100.0,99.999,NO,0.3893,99.3443,0.0035,NO,R99
05201TNSTRWESTR,334414,71556,4200.0,Pounds,44.2105,NO,0.0,45.4054,46.6667,91.8719,100.0,94.382,NO,46.4665,65.6877,0.3572,NO,R11
19067MGNDS1399N,325120,75718,796.0,Pounds,51.4877,NO,51.4877,51.4877,51.4877,51.4877,51.4877,51.4877,NO,0.0,51.4877,0.0,NO,R99
77003DXLCT3001E,332813,7647010,600.0,Pounds,1.7595,NO,1.7595,1.7595,1.7595,1.7595,1.7595,1.7595,NO,0.0,1.7595,0.0,NO,R99
77003DXLCT3001E,332813,7664939,3000.0,Pounds,8.0535,NO,8.0535,8.0535,8.0535,8.0535,8.0535,8.0535,NO,0.0,8.0535,0.0,NO,R99
08852JHNCDNEWRO,325510,1330207,13000.0,Pounds,21.0016,NO,0.0,21.7089,22.4525,80.625,100.0,98.1132,NO,58.9161,51.6392,0.6292,NO,R19
61764NTRLKJCTRT,332999,71363,67808.0,Pounds,61.0723,NO,56.6099,68.1463,75.2202,75.8372,87.3736,76.4542,NO,7.6909,70.9156,0.0984,NO,R11
