CHEMICAL_ID_NUMBER,STRIPPED_CHEMICAL_ID_NUMBER,Nat_Agg_PPV_2015,Nat_Agg_PPV_2014,Nat_Agg_PPV_2013,Nat_Agg_PPV_2012
3120-74-9,3120749,"25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
31215-04-0,31215040,Withheld,Withheld,Withheld,Withheld
3121-61-7,3121617,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
31291-60-8,31291608,Withheld,Withheld,Withheld,Withheld
3129-92-8,3129928,Withheld,Withheld,Withheld,Withheld
31335-74-7,31335747,Withheld,Withheld,Withheld,Withheld
3138-42-9,3138429,"100,000 - 500,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
3147-75-9,3147759,"500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
3149-68-6,3149686,Withheld,Withheld,Withheld,Withheld
31499-72-6,31499726,"< 25,000 lb","< 25,000 lb","< 25,000 lb","< 25,000 lb"
31506-43-1,31506431,Withheld,Withheld,Withheld,Withheld
31529-83-6,31529836,"< 25,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
31556-45-3,31556453,"500,000 - 1,000,000 lb","100,000 - 500,000 lb","500,000 - 1,000,000 lb","100,000 - 500,000 lb"
31565-37-4,31565374,"1,000,000 - 10,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
31566-31-1,31566311,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
31570-04-4,31570044,"10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
3159-62-4,3159624,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3160-86-9,3160869,Withheld,Withheld,Withheld,Withheld
31621-69-9,31621699,Withheld,Withheld,Withheld,Withheld
31621-91-7,31621917,"< 25,000 lb","25,000 - 100,000 lb","< 25,000 lb","< 25,000 lb"
3164-60-1,3164601,Withheld,Withheld,Withheld,Withheld
3164-85-0,3164850,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
31714-55-3,31714553,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
3173-53-3,3173533,Withheld,Withheld,Withheld,Withheld
3173-72-6,3173726,Withheld,Withheld,Withheld,Withheld
31756-97-5,31756975,Withheld,Withheld,Withheld,Withheld
31774-90-0,31774900,"25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","100,000 - 500,000 lb"
31795-24-1,31795241,"100,000 - 500,000 lb","500,000 - 1,000,000 lb","1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb"
3179-76-8,3179768,Withheld,Withheld,Withheld,Withheld
3179-80-4,3179804,"10,000,000 - 50,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
31807-55-3,31807553,Withheld,Withheld,Withheld,Withheld
31810-89-6,31810896,"100,000 - 500,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb","25,000 - 100,000 lb"
31837-42-0,31837420,"500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb","500,000 - 1,000,000 lb"
31885-97-9,31885979,Withheld,Withheld,Withheld,Withheld
3188-83-8,3188838,Withheld,Withheld,Withheld,Withheld
319002-92-1,319002921,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
31906-04-4,31906044,"100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb","100,000 - 500,000 lb"
3194-55-6,3194556,"1,000,000 - 10,000,000 lb","1,000,000 - 10,000,000 lb","10,000,000 - 50,000,000 lb","10,000,000 - 50,000,000 lb"
319926-68-6,319926686,Withheld,Withheld,Withheld,Withheld
32069-92-4,32069924,"< 25,000 lb","< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb"
32072-96-1,32072961,"50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb","50,000,000 - 100,000,000 lb"
32073-22-6,32073226,Withheld,Withheld,Withheld,Withheld
3209-22-1,3209221,"< 25,000 lb","< 25,000 lb","25,000 - 100,000 lb","500,000 - 1,000,000 lb"
3217-00-3,3217003,Withheld,Withheld,Withheld,Withheld
