TRIFID,TRI_CHEM_ID,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
31907CLLWY6603C,106898,0.71,,,,,1999
77704MBLCHGULFS,71432,1.06,,,,,1999
46219NVSTR5565B,121448,0.93,,,,,1999
70807SFTYK13351,140885,0.0,,,,,1999
97330HWLTT1000N,7664393,0.64,,,,,1999
49068BSTKD205WE,N230,0.92,,,,,1999
71129GNBNC6901W,N420,0.99,,,,,1999
77536SFTYK2027B,108907,0.0,,,,,1999
77547CHVRN12523,1634044,1.13,,,,,1999
77501GRGGL3503P,N495,1.01,,,,,1999
75034GNBNCSOUTH,7440360,0.79,,,,,1999
38109XCLTS552RI,98953,0.97,,,,,1999
28603CRLNS22741,67561,1.67,,,,,1999
90061TSCLS13500,98828,1.75,,,,,1999
28451CTNGSRTE74,7664417,0.98,,,,,1999
27962WYRHSTROWB,10049044,0.94,,,,,1999
95818TSCSC76BRO,110827,1.01,,,,,1999
57006MCMPN60122,100414,1.07,,,,,1999
16229BRGNDSILVE,7440484,3.15,,,,,1999
87413BLMFLNO50C,71432,0.95,,,,,1999
48837TMNTR920NC,100425,1.17,,,,,1999
30731BSTMNHIGHW,N511,1.09,,,,,1999
82716NLSMP13151,108883,0.97,,,,,1999
26366HRRSNRTE20,N040,0.98,,,,,1999
55108WRMCH2130E,78933,0.6,,,,,1999
10918CHSTR15OAK,N420,1.04,,,,,1999
29115DCLMNFIVEC,872504,0.63,,,,,1999
36108VMSNC1080W,N982,0.78,,,,,1999
11222MTRTR498KI,71432,1.03,,,,,1999
02760LCHGR255JO,7782505,1.08,,,,,1999
49735STNDR594AL,7440473,0.74,,,,,1999
46219NVSTR5565B,7440393,0.93,,,,,1999
16433LRDCRSOUTH,7647010,1.04,,,,,1999
15120DMSCS1001E,7439965,0.0,,,,,1999
44128MMCNT4475E,N120,0.88,,,,,1999
56073MCMPN1700N,N090,1.18,,,,,1999
71914MDMRC847BL,108907,0.82,,,,,1999
60628PMCSP735E1,95487,1.26,,,,,1999
75234GNBNC1880V,N420,1.05,,,,,1999
33805CDMCN3030E,N100,0.0,,,,,1999
29445WLLMS2242B,N982,12.22,,,,,1999
27962WYRHSTROWB,N511,0.94,,,,,1999
43207KYSTN2100A,79016,0.0,,,,,1999
77704MBLCHGULFS,67561,0.78,,,,,1999
95039NTNLRHIGHW,7647010,0.37,,,,,1999
70821STFFRAIRLI,7647010,0.96,,,,,1999
87413BLMFLNO50C,108883,0.95,,,,,1999
40216LRCHC3900T,78933,1.82,,,,,1999
94802CHVRN576ST,108883,0.8,,,,,1999
46312STCHC400EC,1634044,1.11,,,,,1999
30913MRRYBARTHE,7664393,0.93,,,,,1999
44128RVWMT4465J,N511,1.0,,,,,1999
73109RKRMS1321S,7440508,1.39,,,,,1999
78469VLRRF5900U,74851,1.0,,,,,1999
34428FLRDP15760,N420,0.94,,,,,1999
35064SSFRFVALLE,N420,1.01,,,,,1999
74063CHMLN9100W,75569,0.68,,,,,1999
