TRIFID,CAS NUMBER,PROD RATIO/ACTIVITY INDEX,SR ACTIVITY 1,SR ACTIVITY 2,SR ACTIVITY 3,SR ACTIVITY 4,REPORTING YEAR
78226LCKHD661DU,91203,1.46,,,,,2008
77536DSPSL2525B,7440439,0.76,,,,,2008
77536DSPSL2525B,108316,0.66,,,,,2008
89803BRRCK27MIL,N020,0.96,,,,,2008
89821CRTZGSTARA,N450,1.0,,,,,2008
89414GTCHL28MIN,N458,0.73,,,,,2008
67042TXCRF1401S,N010,1.01,,,,,2008
40511SQRDC1601M,7439965,0.94,,,,,2008
4865WMCHGN285CA,7439921,0.89,,,,,2008
7610WSPMFL761WY,7440508,1.84,,,,,2008
3603WCNNCT51IND,7440508,1.0,,,,,2008
08829CSTML3WASH,7440020,1.15,,,,,2008
84029SFTYK11600,84742,0.5,,,,,2008
84029SFTYK11600,7439921,0.79,,,,,2008
36868MDCTDALABA,108952,0.98,,,,,2008
23692MCLCM2201G,7664417,1.02,,,,,2008
23692MCLCM2201G,85018,1.02,,,,,2008
04038MNRBB9LAUR,7439921,1.3,,,,,2008
85009PRPTR408S4,91203,1.05,,,,,2008
4950WHVLND421AN,111422,0.1,,,,,2008
44146THFDR7250D,7440020,1.02,,,,,2008
06787SMMTC1430W,N100,1.0,,,,,2008
32746LSRBY2452L,75456,0.79,,,,,2008
53590HLLMN501SB,1330207,0.75,,,,,2008
60714NNSPN6565W,N120,1.16,,,,,2008
97303NRRSP1675C,N230,1.0,,,,,2008
8401WMNVSNPBX16,7439965,0.77,,,,,2008
43207CLMBB1000B,7439921,1.02,,,,,2008
35207SLSSN35003,95636,0.96,,,,,2008
7079WPRTHD716PR,71432,3.4,,,,,2008
45209CSTFB3040F,7440020,1.03,,,,,2008
36027TSSND1431S,7664417,0.78,,,,,2008
90723PRMNT14700,95636,0.61,,,,,2008
0073WCNGRNANTNI,N503,1.04,,,,,2008
99337KRLYGROUTE,7664417,1.68,,,,,2008
13815SHFFLWOODS,108883,1.28,,,,,2008
59759GLDNS453MO,67561,0.63,,,,,2008
02148TYMPN197CM,N120,1.21,,,,,2008
29445SNCHM156BU,N120,0.75,,,,,2008
48073FRMNG2727W,7439965,0.78,,,,,2008
53051MLSLV14765,95636,1.26,,,,,2008
55303FDRLH900EH,N010,1.1,,,,,2008
60005DSPLN1605A,95636,1.0,,,,,2008
97303NRRSP1675C,N090,1.0,,,,,2008
8401WMNVSNPBX16,7440666,0.6,,,,,2008
89803BLDMN70MIL,N420,1.05,,,,,2008
77536DSPSL2525B,121448,0.5,,,,,2008
53182MRCRY21211,N420,0.98,,,,,2008
83201MRCNM2300B,7664939,0.88,,,,,2008
99166KTTLR363FI,N106,1.0,,,,,2008
7560WMLTCH185JH,N230,1.12,,,,,2008
7056WMLTCH341WE,N230,2.67,,,,,2008
76065GFFRDPOBOX,N982,1.02,,,,,2008
80640THNLM851E9,1330207,0.96,,,,,2008
74107SNRFN1700S,115071,1.14,,,,,2008
36571LLPTRINDUS,75150,0.92,,,,,2008
33572TMPLC13031,7664417,1.3,,,,,2008
60409CDRCY138TH,7439921,4.08,,,,,2008
98607WFRTC5509N,7664393,0.93,,,,,2008
33712PHTGN2510T,7439921,0.75,,,,,2008
48551GMCTRG3100,71363,1.0,,,,,2008
84029SFTYK11600,108101,0.98,,,,,2008
84029SFTYK11600,7697372,0.95,,,,,2008
