PRIMARY NAICS CODE,TRIFID,REPORTING YEAR,DISPOSAL ACTIVITY,UNIT OF MEASURE,TRI_CHEM_ID,FLOW
331110,97203RGNST14400,1987,Other landfills,kg,1344281,3129784.8
331110,98106STTLS2414S,1987,Other landfills,kg,1344281,183251.168
331110,08344SHLDLWESTB,1987,Other disposal,kg,7429905,589669.6
331110,08344SHLDLWESTB,1987,Other disposal,kg,7440622,20411.64
331110,14302LKMMT4625R,1987,Other landfills,kg,N495,340.194
331110,15001LQPPWFRANK,1987,Other landfills,kg,N090,1769.0088
331110,15001LQPPWFRANK,1987,Other landfills,kg,N106,1814.368
331110,15017CYTMPMAYER,1987,Other landfills,kg,N096,1043.2616
331110,15907RDWRB119WA,1987,Other landfills,kg,N090,340.194
331110,15907RDWRB119WA,1987,Other landfills,kg,N420,861.8248
331110,15907RDWRB119WA,1987,Other landfills,kg,N450,4535.92
331110,25002LKMMTBOX61,1987,Other landfills,kg,107211,340.194
331110,25002LKMMTBOX61,1987,Other landfills,kg,7439965,113.398
331210,18411SNDVKIVYIN,1987,Other landfills,kg,7697372,0.226796
331210,18411SNDVKIVYIN,1987,Other landfills,kg,7664417,0.226796
