Internal Tracking Number,Substance Name,CAS,Active Status,ID
5066,Methane,74-82-8,,74-82-8
5074,Methyl bromide,74-83-9,,74-83-9
5074,Bromomethane,74-83-9,,74-83-9
5116,Chloromethane,74-87-3,,74-87-3
5116,Methyl chloride,74-87-3,,74-87-3
5124,Iodomethane,74-88-4,,74-88-4
5124,Methyl iodide,74-88-4,,74-88-4
5140,Hydrogen Cyanide,74-90-8,,74-90-8
149583,Lead,7439-92-1,,7439-92-1
149625,Manganese,7439-96-5,,7439-96-5
149633,Mercury,7439-97-6,,7439-97-6
149674,Nickel,7440-02-0,,7440-02-0
149906,Thorium-232,7440-29-1,,7440-29-1
149963,Antimony,7440-36-0,,7440-36-0
149989,Arsenic,7440-38-2,,7440-38-2
150003,Beryllium,7440-41-7,,7440-41-7
150029,Cadmium,7440-43-9,,7440-43-9
150037,Elemental Carbon portion of PM2.5-PRI,7440-44-0,,7440-44-0
150060,Chromium,7440-47-3,,7440-47-3
150078,Cobalt,7440-48-4,,7440-48-4
150367,Sulfur Dioxide,7446-09-5,,7446-09-5
524671872,6-Nitrochrysene,7496-02-8,,7496-02-8
5223,Ethyl chloride,75-00-3,,75-00-3
5223,Chloroethane,75-00-3,,75-00-3
5231,Vinyl chloride,75-01-4,,75-01-4
5272,Acetonitrile,75-05-8,,75-05-8
5280,Acetaldehyde,75-07-0,,75-07-0
5306,Methylene chloride,75-09-2,,75-09-2
5306,Dichloromethane,75-09-2,,75-09-2
5348,Carbon disulfide,75-15-0,,75-15-0
5405,Ethylene oxide,75-21-8,,75-21-8
5447,Bromoform,75-25-2,,75-25-2
5520,Ethylidene dichloride,75-34-3,,75-34-3
5520,"1,1-Dichloroethane",75-34-3,,75-34-3
5538,Vinylidene chloride,75-35-4,,75-35-4
5538,"1,1-Dichloroethylene",75-35-4,,75-35-4
5587,Phosgene,75-44-5,,75-44-5
5652,2-Methyl aziridine,75-55-8,,75-55-8
5652,"1,2-Propylenimine",75-55-8,,75-55-8
5660,Propylene oxide,75-56-9,,75-56-9
151225,Ethylene Glycol Diallyl Ether,7529-27-3,,7529-27-3
151449,Titanium tetrachloride,7550-45-0,,7550-45-0
6262,Heptachlor,76-44-8,,76-44-8
524671997,Ethylene Glycol Monovinyl Ether,764-48-7,,764-48-7
69625,Diethylene Glycol Divinyl Ether,764-99-8,,764-99-8
152231,Hydrochloric acid,7647-01-0,,7647-01-0
152371,Hydrogen fluoride,7664-39-3,,7664-39-3
152371,Hydrofluoric acid,7664-39-3,,7664-39-3
152389,Ammonia,7664-41-7,,7664-41-7
6494,Hexachlorocyclopentadiene,77-47-4,,77-47-4
6684,Dimethyl sulfate,77-78-1,,77-78-1
153049,Phosphorus,7723-14-0,,7723-14-0
153213,Chromic Acid (VI),7738-94-5,,7738-94-5
154310,Selenium,7782-49-2,,7782-49-2
154328,Chlorine,7782-50-5,,7782-50-5
154518,Hydrogen Sulfide,7783-06-4,,7783-06-4
70367,9-Methyl Anthracene,779-02-2,,779-02-2
524671989,Ethylene Glycol Mono-Sec-Butyl Ether,7795-91-7,,7795-91-7
7187,Isophorone,78-59-1,,78-59-1
7393,"1,2-Dichloropropane",78-87-5,,78-87-5
7393,Propylene dichloride,78-87-5,,78-87-5
7443,Methyl ethyl ketone,78-93-3,,78-93-3
7443,2-Butanone,78-93-3,,78-93-3
156588,Phosphine,7803-51-2,,7803-51-2
7518,"1,1,2-Trichloroethane",79-00-5,,79-00-5
7526,Trichloroethylene,79-01-6,,79-01-6
7575,Acrylamide,79-06-1,,79-06-1
7617,Acrylic acid,79-10-7,,79-10-7
7625,Chloroacetic acid,79-11-8,,79-11-8
7773,"1,1,2,2-Tetrachloroethane",79-34-5,,79-34-5
7864,Dimethyl carbamoyl chloride,79-44-7,,79-44-7
7872,2-Nitropropane,79-46-9,,79-46-9
8458,Methyl methacrylate,80-62-6,,80-62-6
156919,Toxaphene,8001-35-2,,8001-35-2
156919,Chlorinated camphene,8001-35-2,,8001-35-2
157958,Coal Tar,8007-45-2,,8007-45-2
9373,Quintobenzene,82-68-8,,82-68-8
9373,Pentachloronitrobenzene,82-68-8,,82-68-8
71209,"Hexamethylene-1,6-diisocyanate",822-06-0,,822-06-0
9555,Acenaphthene,83-32-9,,83-32-9
71852,1-Methylphenanthrene,832-69-9,,832-69-9
10025,Dibutylphthalate,84-74-2,,84-74-2
10199,Phenanthrene,85-01-8,,85-01-8
10355,Phthalic anhydride,85-44-9,,85-44-9
10900,Carbazole,86-74-8,,86-74-8
11346,Hexachlorobutadiene,87-68-3,,87-68-3
11437,Pentachlorophenol,87-86-5,,87-86-5
11536,"2,4,6-Trichlorophenol",88-06-2,,88-06-2
12815,o-Anisidine,90-04-0,,90-04-0
12849,1-Methylnaphthalene,90-12-0,,90-12-0
13326,Naphthalene,91-20-3,,91-20-3
13342,Quinoline,91-22-5,,91-22-5
13524,2-Methylnaphthalene,91-57-6,,91-57-6
13532,2-Chloronaphthalene,91-58-7,,91-58-7
13755,"3,3-Dichlorobenzidene",91-94-1,,91-94-1
14183,Biphenyl,92-52-4,,92-52-4
14308,4-Aminobiphenyl,92-67-1,,92-67-1
14498,Benzidine,92-87-5,,92-87-5
14548,4-Nitrobiphenyl,92-93-3,,92-93-3
524671955,Diethylene Glycol Monovinyl Ether,929-37-3,,929-37-3
15651,"2,4-Dichlorophenoxy Acetic Acid",94-75-7,,94-75-7
16139,o-Xylenes,95-47-6,,95-47-6
16147,o-Cresol,95-48-7,,95-48-7
16196,o-Toluidine,95-53-4,,95-53-4
16410,"2,4-Toluene diamine",95-80-7,,95-80-7
16519,"2,4,5-Trichlorophenol",95-95-4,,95-95-4
16584,Styrene oxide,96-09-3,,96-09-3
16618,"1,2-Dibromo-3-chloropropane",96-12-8,,96-12-8
16857,Ethylene thiourea,96-45-7,,96-45-7
17756,Benzotrichloride,98-07-7,,98-07-7
18309,Cumene,98-82-8,,98-82-8
18333,Acetophenone,98-86-2,,98-86-2
18408,Nitrobenzene,98-95-3,,98-95-3
649632,Radionuclides (Including Radon),,,
650044,Selenium compounds,,,
761320,Sulfate Portion of PM2.5-PRI,,,
1734789,Uranium-238,,,
761346,Volatile Organic Compounds,,,
