Internal Tracking Number,Substance Name,CAS,Category,Last BRMentiona,ID
35295,Dimethyl phthalate,131-11-3,Organics,2005,131-11-3
36137,"DEET (N,N-diethyltoluamide)",134-62-3,Pesticides,2013,134-62-3
39487,Sulfamethizole,144-82-1,Antibiotics,2009,144-82-1
39826,Thiabendazole,148-79-8,Other drugs,2009,148-79-8
40071,Monuron,150-68-5,Pesticides,2005,150-68-5
40683,Benzo(b)fluoranthene,205-99-2,PAHs,2005,205-99-2
40691,Fluoranthene,206-44-0,PAHs,2009,206-44-0
40709,Benzo(k)fluoranthene,207-08-9,PAHs,2005,207-08-9
40733,Chrysene,218-01-9,PAHs,2005,218-01-9
41418,Amphetamine,300-62-9,Other drugs,2007,300-62-9
41897,Perfluorohexanoate (PFHxA),307-24-4,PFASs,2013,307-24-4
41947,Perfluorododecanoate (PFDoDA),307-55-1,PFASs,2013,307-55-1
42861,Perfluorooctanoate (PFOA),335-67-1,PFASs,2013,335-67-1
42887,Perfluorodecanoate (PFDA),335-76-2,PFASs,2013,335-76-2
44370,Perfluorobutanoate (PFBA),375-22-4,PFASs,2013,375-22-4
44446,Perfluorheptanoate (PFHpA),375-85-9,PFASs,2013,375-85-9
44479,Perfluoronoanoate (PFNA),375-95-1,PFASs,2013,375-95-1
45674,Diazepam,439-14-5,Other drugs,2005,439-14-5
52019,Decamethylcyclopentasiloxane (D5),541-02-6,Emollients,2015,541-02-6
52217,"Dichlorobenzene, 1,3-",541-73-1,Pesticides,2005,541-73-1
53157,Amitriptyline,549-18-8,Other drugs,2013,549-18-8
62257,N-nitroso-di-n-propylamine (NDPA),621-64-7,Nitrosamines,2015,621-64-7
68866,Sulfamethoxazole,723-46-6,Antibiotics,2009,723-46-6
73700,N-nitrosodibutylamine (NDBA),924-16-3,Nitrosamines,2015,924-16-3
74294,N-nitrosopyrrolidine (NPYR) ,930-55-2,Nitrosamines,2015,930-55-2
75333,"Endosulfan, ?",959-98-8,Pesticides,2005,959-98-8
76661,"Chloroaniline, 4-",106-47-8,SVOCs,2009,106-47-8
79996,"BDE-209 (2,2',3,3',4,4',5,5',6,6'- DeBDE)",1163-19-5,PBDEs,2009,1163-19-5
81414,Galaxolide,1222-05-5,Fragrance,2011,1222-05-5
92684,"Octylphenol, 4-",1806-26-4,Organics,2007,1806-26-4
93237,Nitrofen,1836-75-5,Pesticides,2005,1836-75-5
106476,Perfluoropentanoate (PFPeA),2706-90-3,PFASs,2013,2706-90-3
115139,Triclosan,3380-34-5,Antibiotics,2013,3380-34-5
136648,"Limonene, d-",5989-27-5,Fragrance,2007,5989-27-5
149476,Aluminum,7429-90-5,Metals,2007,7429-90-5
149559,Iron,7439-89-6,Metals,2005,7439-89-6
149617,Magnesium,7439-95-4,Metals,2007,7439-95-4
149625,Manganese,7439-96-5,Metals,2009,7439-96-5
