ID,NAT_AGG_PPV,YEAR,UNIT,Internal Tracking Number,Substance Name
10081671,10000000,2012,lb,167486,"Benzenamine, 4-(1-methyl-1-phenylethyl)-N-[4-(1-methyl-1-phenylethyl)phenyl]-"
10086518,25000,2015,lb,167494,"Acetic acid, lanthanum salt (1:?)"
10086518,100000,2014,lb,167494,"Acetic acid, lanthanum salt (1:?)"
10086518,100000,2013,lb,167494,"Acetic acid, lanthanum salt (1:?)"
10086518,25000,2012,lb,167494,"Acetic acid, lanthanum salt (1:?)"
100867,100000,2015,lb,19786,"Benzeneethanol, .alpha.,.alpha.-dimethyl-"
100867,25000,2014,lb,19786,"Benzeneethanol, .alpha.,.alpha.-dimethyl-"
100867,25000,2013,lb,19786,"Benzeneethanol, .alpha.,.alpha.-dimethyl-"
100867,25000,2012,lb,19786,"Benzeneethanol, .alpha.,.alpha.-dimethyl-"
1008726,500000,2015,lb,76463,"Benzenesulfonic acid, 2-formyl-, sodium salt (1:1)"
1008726,1000000,2014,lb,76463,"Benzenesulfonic acid, 2-formyl-, sodium salt (1:1)"
1008726,500000,2013,lb,76463,"Benzenesulfonic acid, 2-formyl-, sodium salt (1:1)"
1008726,1000000,2012,lb,76463,"Benzenesulfonic acid, 2-formyl-, sodium salt (1:1)"
10094345,500000,2015,lb,167528,"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester"
10094345,500000,2014,lb,167528,"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester"
10094345,500000,2013,lb,167528,"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester"
10094345,500000,2012,lb,167528,"Butanoic acid, 1,1-dimethyl-2-phenylethyl ester"
10094458,1000000,2015,lb,167551,"13-Docosenamide, N-octadecyl-, (13Z)-"
10094458,1000000,2014,lb,167551,"13-Docosenamide, N-octadecyl-, (13Z)-"
10094458,500000,2013,lb,167551,"13-Docosenamide, N-octadecyl-, (13Z)-"
10094458,500000,2012,lb,167551,"13-Docosenamide, N-octadecyl-, (13Z)-"
100970,100000000,2015,lb,19844,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane"
100970,100000000,2014,lb,19844,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane"
100970,100000000,2013,lb,19844,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane"
100970,100000000,2012,lb,19844,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane"
10099588,50000000,2015,lb,167627,Lanthanum chloride (LaCl3)
10099588,50000000,2014,lb,167627,Lanthanum chloride (LaCl3)
10099588,50000000,2013,lb,167627,Lanthanum chloride (LaCl3)
10099588,50000000,2012,lb,167627,Lanthanum chloride (LaCl3)
10099599,1000000,2015,lb,167635,"Nitric acid, lanthanum(3+) salt (3:1)"
10099599,1000000,2014,lb,167635,"Nitric acid, lanthanum(3+) salt (3:1)"
10099599,10000000,2013,lb,167635,"Nitric acid, lanthanum(3+) salt (3:1)"
10099599,10000000,2012,lb,167635,"Nitric acid, lanthanum(3+) salt (3:1)"
10099748,10000000,2015,lb,167692,"Nitric acid, lead(2+) salt (2:1)"
10099748,500000,2014,lb,167692,"Nitric acid, lead(2+) salt (2:1)"
10099748,500000,2013,lb,167692,"Nitric acid, lead(2+) salt (2:1)"
10099748,500000,2012,lb,167692,"Nitric acid, lead(2+) salt (2:1)"
10099760,500000,2015,lb,167700,"Silicic acid (H2SiO3), lead(2+) salt (1:1)"
10099760,100000,2014,lb,167700,"Silicic acid (H2SiO3), lead(2+) salt (1:1)"
10099760,500000,2013,lb,167700,"Silicic acid (H2SiO3), lead(2+) salt (1:1)"
10099760,100000,2012,lb,167700,"Silicic acid (H2SiO3), lead(2+) salt (1:1)"
10101505,50000000,2015,lb,167734,"Permanganic acid (HMnO4), sodium salt"
10101505,50000000,2014,lb,167734,"Permanganic acid (HMnO4), sodium salt"
10101505,10000000,2013,lb,167734,"Permanganic acid (HMnO4), sodium salt"
10101505,10000000,2012,lb,167734,"Permanganic acid (HMnO4), sodium salt"
10101538,100000,2015,lb,167759,"Sulfuric acid, chromium(3+) salt (3:2)"
10101538,100000,2014,lb,167759,"Sulfuric acid, chromium(3+) salt (3:2)"
10101538,100000,2013,lb,167759,"Sulfuric acid, chromium(3+) salt (3:2)"
10101538,500000,2012,lb,167759,"Sulfuric acid, chromium(3+) salt (3:2)"
10101889,10000000,2015,lb,167825,"Phosphorothioic acid, sodium salt (1:3)"
10101889,10000000,2014,lb,167825,"Phosphorothioic acid, sodium salt (1:3)"
10101889,1000000,2013,lb,167825,"Phosphorothioic acid, sodium salt (1:3)"
10101889,100000,2012,lb,167825,"Phosphorothioic acid, sodium salt (1:3)"
101020,50000000,2015,lb,19877,"Phosphorous acid, triphenyl ester"
101020,50000000,2014,lb,19877,"Phosphorous acid, triphenyl ester"
101020,50000000,2013,lb,19877,"Phosphorous acid, triphenyl ester"
